sex,fam_inc_decile,fam_inc_mean
Female,10,77506.0361648962
Male,10,80383.5268135699
Female,8,42848.3425692478
Male,7,38291.8907088137
Male,8,44805.5224987458
Female,1,5411.14091536858
Male,1,7238.8767571194
Male,9,54199.8972104127
Female,9,52160.1246461757
Male,6,32920.8313510214
Female,6,30815.4549647044
Male,3,18939.607139445
Female,4,21248.5235052507
Male,5,28106.5563147331
Female,5,25903.2789869231
Male,4,23483.0725728281
Female,2,11979.5493866233
Male,2,14258.4238529132
Female,3,16786.681411786
Female,7,36263.0666512591
