,1970,1980,1990,2000,2010
adjginc,,,,y,y
age,n,n,n,n,n
capgain,,,,y,
caploss,,,,y,
depstat,,,,,n
eitcred,,,,y,y
fedtax,,,,y,y
fedtaxac,,,,,y
ffngcaid,,,,y,y
ffngcare,,,,y,y
ftotval,n,y,y,y,y
hrswork,y,y,y,y,y
hwtsupp,n,n,n,n,n
inc_sum,y,y,y,y,y
incalim,,,y,y,y
incaloth,y,y,,,
incasist,,,y,y,y
incbus,y,y,y,y,y
incchild,,,y,y,y
incdisa1,,,y,y,y
incdisa2,,,y,y,y
incdivid,,,y,y,y
incdrt,,y,,,
inceduc,,,y,y,y
incfarm,y,y,y,y,y
incgov,y,y,,,
incidr,y,,,,
incint,,y,y,y,y
inclongj,,,y,y,y
incother,,,y,y,y
incrent,,,y,y,y
increti1,,,y,y,y
increti2,,,y,y,y
incretir,,y,y,y,y
incss,y,y,y,y,y
incssi,,y,y,y,y
incsurv1,,,y,y,y
incsurv2,,,y,y,y
inctot,n,y,y,y,y
incunemp,,,y,y,y
incvet,,,y,y,y
incwage,y,y,y,y,y
incwelfr,y,y,y,y,y
incwelfr_alloc,y,y,y,y,y
incwkcom,,,y,y,y
labern,y,y,y,y,y
lineno,n,n,n,n,n
momloc,n,n,n,n,n
n_subfam,n,n,n,n,n
non_earnings_income,y,y,y,y,y
oincbus,,,y,y,y
oincfarm,,,y,y,y
oincwage,,,y,y,y
pce,n,n,n,n,n
pn_labern,y,y,y,y,y
pn_loc,n,n,n,n,n
poploc,n,n,n,n,n
proptax,,,,y,y
sploc,n,n,n,n,n
spmcaphous,,,,,y
sqrt_famsize,n,n,n,n,n
stampval,,y,y,y,y
stataxac,,,,,y
statetax,,,,y,y
subfamid,n,n,n,n,n
subfamid_of_head,n,n,n,n,n
subfaminc,y,y,y,y,y
taxinc,,,,y,y
uhrswork,,y,y,y,y
wkswork1,,n,n,n,n
wtsupp,n,n,n,n,n
year,n,n,n,n,n
